name,url,status,size,sha256,error
grype,https://raw.githubusercontent.com/anchore/grype/main/install.sh,ok,23441,8646f06a90b10ca64992c1809b4aa00c44e30b4f551f63c309b0b0ab66873556,
gvm,https://raw.githubusercontent.com/moovweb/gvm/master/binscripts/gvm-installer,ok,4830,45553fe3f3cff3f7766a79f3a2f4a962cf623c984d3b960574a9ab9524ad1905,
hasura-cli,https://raw.githubusercontent.com/hasura/graphql-engine/master/cli/get.sh,ok,4274,e262ca413c400189ed14d7f8289082a59b5cf43f5d8617b77bcc275e03348455,
helm,https://raw.githubusercontent.com/helm/helm/main/scripts/get-helm-3,ok,11929,38b65f882d9cae3891755bdb03becc6a01ae6f9cb24826c191f219ddfee70a5d,
heroku-cli,https://cli-assets.heroku.com/install.sh,ok,2034,832fabb395cc3d75200d6dee18a7242db9e43ca2abcf0e1983adbe2ba8792b9a,
ibmcloud-cli,https://clis.cloud.ibm.com/install/linux,ok,3590,3826139d0ae43f1a5b233355169fb3d4a2ca5548d73bd7cf52a48382aef0efde,
dfx,https://internetcomputer.org/install.sh,ok,16924,a0bd7b296d77425761d2fa33db6fd8d84aae7814033363c53a68091b90ad0b3a,
istioctl,https://istio.io/downloadIstio,ok,5124,b78dd6d5c5068754e32ccaa733d8da799724b9c49533f7460ab07df68805d43d,
juliaup,https://install.julialang.org,ok,23551,ff408925d12041f8702090b449155c554ad8122f1032d83010de0c8755262691,
just,https://just.systems/install.sh,ok,3791,a87d0419dab916fca62627809b3e6e0dd175fcd9c7f91275c655d5978c86ee6f,
k0s,https://get.k0s.sh,ok,1589,e7491fa3afd1e0e3b22d86b5d58b1824d3532204387e5689db28d5213c9657a1,
k3sup,https://get.k3sup.dev,ok,5432,2d9ca8e6942161ce0d8fc49d3e6d11ae626d11e42f7c9409aa1ae023837d99f4,
kitty,https://sw.kovidgoyal.net/kitty/installer.sh,ok,4571,339346cf3811a77a47588b7bd7ca608f10e09470faea259b6a32c7e7c9ee3e9e,
