name,url
crossplane,https://raw.githubusercontent.com/crossplane/crossplane/master/install.sh
ctop,https://raw.githubusercontent.com/bcicen/ctop/master/install.sh
upbound-cli,https://cli.upbound.io/install.sh
confluent-cli,https://cnfl.io/cli
gel,https://www.geldata.com/sh
ubi,https://raw.githubusercontent.com/houseabsolute/ubi/master/bootstrap/bootstrap-ubi.sh
encore,https://encore.dev/install.sh
jbang,https://sh.jbang.dev
pants-build,https://static.pantsbuild.org/setup/get-pants.sh
please-build,https://get.please.build
crystal-lang,https://crystal-lang.org/install.sh
joplin,https://raw.githubusercontent.com/laurent22/joplin/dev/Joplin_install_and_update.sh
clickhouse,https://clickhouse.com/
teaxyz,https://tea.xyz
pkgx,https://pkgx.sh
duckdb,https://install.duckdb.org
ty,https://astral.sh/ty/install.sh
